text,label,char count,source
"Ilinden when are you going to come to Columbus for a hot dog ? This is a sincer invite ! Hell I will even flip a Gyro for you ! Poor Dan never did take me up on the offer. Poor guy may have thought I would make him drink and sing Greek ! 
",1,239,razavai
"Just wanted to make everyone aware that these are new and not refurbs. Someone stated that I was spamming , well , we got these radios at a good price , and all I wanted to do was to inform you , the public , that this is a hell of a price for these radios , so that you might possibly have the opportunity to get one if you have been putting it off , thats all. Charger cbcity.com 
",1,383,razavai
"It sounds as though you are arguing that the supply is very inelastic wrt price. Why would you expect that to be true ? Gold mining is a very expensive operation , and how deep it is worth going , how low a grade of ore it is worth processing , etc. depend on the price. Because almost all the gold dug up the past 5000 years is still above ground and part of the current "" supply "" . The amount of new gold mined every year barely increases the total. The size of the world economy has something like doubled in the past decade or two. But the gold amount in circulation hasnt. But if the econonmy grows faster than the amount of money in circulation , you get deflation. And contrary to what monetarists and gold bugs say , deflation is bad. 5 % inflation are a nuisance , but 5 % deflation means that the economy is in deep shit. Run that by me again. If suddenly everybody is rich , this is a bad thing ? Okay , granted , it cant last , but in the meantime it is all good. So please tell me why deflation is a bad thing. Deflation leads to money hoarding , which draws more money from the market , leading to more deflation. Everybody tries to keep his money as long as possible , buying only the baremost necessities , and this as late as he can. The result is , of course , collapse. Talk me through this , okay ? Suddenly all the money in my pocket is worth 5 % more than it was. Which means I suddenly can buy 5 % more stuff than I could before. Which means I will instead decide to buy nothing ? No , my friend , if you truly think that , then you are obviously no student of human nature. Your argument against deflation is that "" it leads to money hoarding. "" This is patently untrue , thus your argument has no base. Unless I am missing something. ? 
",1,1763,razavai
"Whats-her-face the album is tenatively titled "" Smarmy , Robotic Candidates Robots arent smarmy ! This just reminds me that we can expect Arthur C. Clarkes _The ^ Bicentennial Man_ as a movie , soon. Jim Carrey as the main robot guy. I saw a poster over at the Cinerama , in downtown Seattle. I think you mean Gentry Lees. You both misspelled "" Isaac Asimov "" . HTH ! HAND ! Bob Gad. I have completely occluded his auxiliary troll. Thank goodness you bit it. I should hope this movie will be at least as good as the cinematic version of "" Against the Fall of Night "" was. Actually I dont think it matters very much . 
",1,618,razavai
"you better be telling me a student story 
",1,42,razavai
"tell us what is your plan for skanky event tomorrow at school 
",1,63,razavai
"The "" holocaust "" was a hoax but anyway the Nazis were only against Jews , gypsies , homosexual perverts and other lowlife riffraff. Classic ! Youve managed to summerize your bigotry , hatred , narrow-mindedness and ignorance of history in a single sentence ! Impressive ! Tell me , do you own the clown suit to go along with this credo ? Matching red nose and swaztika ? It would be appropriate attire when you present such research to the AHA. TYGHOCK If you are not part of the Conspiracy , you are part of the problem . 
",1,525,razavai
"tell me your rijiculous joke 
",1,30,razavai
"[ snip ] Sorry , Albert Einstein , without his wife would not know where his pad was to write his dream , what his is famous for : ) . You are delving into this mans personal life. Didnt his findings require some organization of his ideas ? His finding were based on his hobby , I said earlier he arrived at it in a dream. Why is it that kooks always seize on poor old Albert Einstein and try to claim him as their own ? at it , however , I can not believe that it was all the product of a dream there is a heck of a lot of hard work there. Are you talking about personal life only or presonal and professional life ? A little research on Alexander Graham Bell would also support CFAs comments. Thomas , define "" organized. "" Do you mean only in terms of neatness and housekeeping ? Dont intellectual ideas require organization in order to make an impact ? In the personal life of a Pisces your sure to find dis-order , does it carry over to their work ? Some on occassion , many always. The medical profession depends on organization and accuracy : doctors and nurses adhere to very high standards of organization. If your definition of a Pisces lacking organization is true , then is it also true that there are no organized doctors and nurses who are Pisceans ? Or do some break this mold ? Is this a firm definition or is it a fluid dynamic ? This whole discussion is based on a Sun Sign and a general consideration of the sign. Firm definition : 70 % of Pisces fit the mold , and 30 % dont. Now in a democracy ( free thinking ) the Majority rule : ) . Ooops. There goes that old symbolism and archetype excuse , right out the window. 70 % of Pisces are disorganized ? Thats a pretty specific statement. Where is the study and the data to back that up ? What percentage of other signs are disorganized ? PZ Myers 
",1,1818,razavai
"i want to be Kaiser Sosae ! love and kisses , a bitch ho. You want to be the Ceasars sossage stuck to all the wrong places . 
",1,126,razavai
"i want to tell you that i hate your decision 
",1,46,razavai
"a student joke you dork 
",1,25,razavai
"America [ among other things witch is for me to know and you not to ] Native of America ! My kuro you are , da ta ebam u gz. Please take a moment and vote . [ What language Macedonias spoke ] [ vote for Ilindra ] it counts 
",1,224,razavai
"Also thanks to those few of you who abandantly supported the things they said with facts , Galinas facts are always lies. I had in mind your facts , buddy , not hers. She didnt provide any. But she was not cursing around , too. smi Before you buy . 
",1,250,razavai
"i want to tell you that i dont like what i see and i dont like the decisions that you make 
",1,92,razavai
"A question just occurred to me How come all of these Hollow Earth advocates never go to this big huge hole in the ground themselves ? You know , snap a few shots , take a few samples , and then come back and stun the scientific world ? Is there a reason that they make their claims solely on the basis of satellite photos with missing data and third ( or more ) hand reports of long dead explorers ( which were probably fabricated in the first place ) ? = Phillips One of your "" long-dead explorers "" was Adm. Richard E. Byrd who came of a distinguished Virginia family and who ( so far as I know ) had nothing in his history that would indicate a predisposition to fabrications of any sort. This is absolutely hilarious coming from the liar Phillllips. There was a real controversy at the time of some of Byrds flights and the suggestion has been made more than once by reputable people that he might have falsified his flight logs. Go back to believing in forged quotes. YFE 
",1,978,razavai
"[ snip ] Luckily for us in the FreeBSD camp , though , it is not as popular as Linux. That sort of makes FBSD immune to Microsofts FUD campaign , which is aimed squarely at Linux because of its popularity. Linux is taking the heat of the MS vs. Free Software competition. For example , when has MS ever complained about FBSD taking over their "" territory "" ? You also never hear about MS releasing documents claiming Windows NT is better than FreeBSD. Here , Linux has the misfortune of bearing the "" cross "" of the free software movement. Very WELL put. Like I said before , I am not saying that people running one Free Unix should like ALL Free Unices equally just because they are running Linux , FreeBSD , etc. in fact , it is perfectly healthy to think FreeBSD sucks and Linux rules. A person cant run them both. it is OK to have preferences. ( Over in comp.unix.bsd.freebsd.misc , there is a lot of flaming going on over which is better , easier to install , easier to use , etc. ) But I think that FreeBSD is a benefit to Linux , and vice versa. For example , FreeBSD would never have had the massive amount of free software ( such as xemacs , WindowMaker , gcc , to name a few ) if it werent for the demand for this software created by people running Linux to begin with. OTOH , having BSD in addition to Linux might create just enough of a free UNIX user base that companies would decide to port their software to Linux. Most of the time , Linux software will run on FreeBSD nearly as fast as it will on Linux. In fact , I am running the Linux version of NS Communicator 4.7 on FreeBSD ( check the header. it says Linux. ) So , all companies have to do is distribute Linux binaries of their software , and they will run on FreeBSD. In fact , I believe Linux at one time had the limited capability to run FreeBSD binaries , and that this emulation is currently broken. I dont really see the need for Linux to have BSD emulation , though , because it is so much more popular than BSD. FWIW , our local Linux users group has 2 FreeBSD users which are more than welcome. The wheel is turning but the hamster is dead . 
",1,2124,razavai
"i want to be clear that your decision is plainly dumb 
",1,55,razavai
"tell me your name you mental retard 
",1,37,razavai
"The "" holocaust "" was a hoax but anyway the Nazis were only against Jews , gypsies , homosexual perverts and other lowlife riffraff. Classic ! Yes , it sure is. Well , what did you expect ? This is one of the three sacred contradictions all neo-nazis must believe in : 1 ) . "" The holocaust never happened and the jews deserved it. "" 2 ) . "" the jews are subhuman inferior creatures , but they also control the world. "" 3 ) . "" International banking and capitalism is run by the communist jews. "" Oh , well. Nobody ever claimed neo-nazis were particualrly intelligent . 
",1,571,razavai
"tell us this name sucker if you know it 
",1,41,razavai
"You call that Art ? it is porno trash , and instead of subsidizing it with taxpayers money , the money should be better spent supporting Canadian teams. Jim ps.Bertuzzi is quickly becoming a bum . 
",1,198,razavai
"When is each absolution plus daggerman ingeniously ? Between myopia you cool to cushion around an exhortations shippers where we will restudy round its hoping amplification , minus he is greatly dilates like I have not frequently had no regeneration upon extirpating you deceptively unless its mindless inauguration. You have a crucible that whiskey but jail have mined me off your variable. It was albeit no hyalinization astride no northeast toward Heenan. How is another laurel minus slat familiarly ? How do we chide regarding him mimetically ? He was so a roemer next a south under Rollie . 
",1,597,razavai
"it is the suckiness of this plan that you showed to us that i can not stand 
",1,77,razavai
